VmPeak,VmSize,VmHWM,VmRSS,VmPTE,VmSwap,Threads,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Unevictable,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,KernelStack,PageTables,Committed_AS
2394008,2394008,92048,91940,472,0,15,260496,731936,21368,560992,9556,420928,1111052,0,1633800,10296,0,945524,279804,14920,131448,12320,22452,5283252
2394008,2394008,92048,91940,472,0,15,253188,730016,21696,566168,9556,425512,1115364,0,1633800,11472,0,949012,282676,14920,131632,12424,22580,5318828
2394008,2394008,92048,91940,472,0,15,244620,725120,21708,569708,9596,427936,1125308,0,1633800,11880,0,957764,283476,14936,131736,12424,22576,5329680
2394008,2394008,92048,91940,472,0,15,235060,718592,22456,576196,9664,429428,1140312,0,1634056,12128,0,966856,292212,19164,131992,12616,22756,5369136
2394008,2394008,92048,91940,472,0,15,210616,702632,22624,585688,9672,430672,1163008,0,1634056,10820,0,981308,297888,20328,132220,12808,22936,5466020
2394008,2394008,92048,91940,472,0,15,193004,690756,23804,591020,9672,432544,1179364,0,1634056,10904,0,992984,300620,21156,132448,12824,22996,5483324
2394008,2394008,92048,91940,472,0,15,178640,677240,24196,591844,10044,433092,1184284,0,1635336,10920,0,997284,301332,21536,132468,12816,23028,5489456
2394008,2394008,92048,91940,472,0,15,178136,677092,24204,592004,10340,433164,1184532,0,1636104,10940,0,997276,301480,21348,132460,12848,23040,5505248
2394008,2394008,92048,91940,472,0,15,177412,676368,24204,587616,10340,433260,1181564,0,1636104,10956,0,998788,297256,16960,132480,12872,23052,5501624
2394008,2394008,92048,91940,472,0,15,177412,676388,24204,587636,10340,433260,1179308,0,1636104,10440,0,996560,297092,16960,132492,12848,22992,5505016
2394008,2394008,92048,91940,472,0,15,178692,677676,24212,587636,10340,433268,1165552,0,1636104,10468,0,982832,297004,16960,132508,12872,23068,5505068
2394008,2394008,92048,91940,472,0,15,192428,691456,24212,587684,10340,433316,1153292,0,1636104,10468,0,970688,297008,16964,132508,12832,23004,5491796
2394008,2394008,92048,91940,472,0,15,211372,710316,24220,587520,10340,435460,1137936,0,1636104,10476,0,957616,296988,16804,132276,12544,22552,5455444
2394008,2394008,92048,91940,472,0,15,211148,710096,24220,587524,10340,435460,1140336,0,1636104,10480,0,959928,296904,16804,132236,12536,22552,5456236
2394008,2394008,92048,91940,472,0,15,210476,709440,24244,587516,10340,435464,1142756,0,1636104,9776,0,962324,296820,16804,132212,12528,22636,5458272
2394008,2394008,92048,91940,472,0,15,187880,686884,24244,602872,10340,435484,1165252,0,1636104,9804,0,969436,312320,32136,132244,12504,22628,5478808
2394008,2394008,92048,91940,472,0,15,181412,680424,24244,608888,10340,435484,1155196,0,1636104,9804,0,953444,318252,38152,132256,12512,22620,5469652
2394008,2394008,92048,91940,472,0,15,180712,679748,24244,598068,10340,435512,1146052,0,1636104,9828,0,955196,307324,27308,132260,12480,22624,5459796
2394008,2394008,92048,91940,472,0,15,180488,679524,24244,596668,10340,435512,1146996,0,1636104,9828,0,957544,305924,25908,132256,12456,22596,5460900
2394008,2394008,92048,91940,472,0,15,179988,679040,24280,598320,10340,435516,1151360,0,1636104,9328,0,960112,307596,27580,132256,12464,22680,5464800
2394008,2394008,92048,91940,472,0,15,179736,678840,24280,607612,10340,435560,1164008,0,1636104,9352,0,963564,317088,36820,132264,12472,22708,5479148
2394008,2394008,92048,91940,472,0,15,179736,678844,24280,599492,10340,435552,1149992,0,1636104,9356,0,957748,308880,28696,132264,12464,22624,5465708
2394008,2394008,92048,91940,472,0,15,179260,678368,24280,598000,10340,435560,1150540,0,1636104,9364,0,959628,307312,27204,132264,12464,22612,5466612
2394008,2394008,92048,91940,472,0,15,178812,677924,24280,599416,10340,435556,1154348,0,1636104,9368,0,962040,308732,28616,132264,12464,22620,5468708
2394008,2394008,92048,91940,472,0,15,178336,677472,24292,598104,10340,435564,1155152,0,1636104,7248,0,964224,307392,27292,132268,12472,22700,5470780
2394008,2394008,92048,91940,472,0,15,178336,677472,24292,609004,10340,435568,1165968,0,1636104,7272,0,964056,318216,38192,132268,12472,22636,5482768
