Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Cluster
"-6,911518367","-6,822900266","4,0055231581","0,6322632141","0,3809198052","-0,131182956",1
"-6,8159138","-6,772439901","4,1076964545","0,500608211","0,2463983417","-0,053381133",1
"-6,845547703","-6,730421016","4,0650282099","0,4958796661","0,208849491","-0,061396498",1
"-7,095783909","-7,169644895","3,8753128256","-0,444595966","0,6241286334","1,21119749",1
"-7,089957011","-7,187914169","3,78353446","-0,330153079","0,7448799083","1,1456643184",1
"-7,007606367","-7,185232361","3,8118708394","-0,324757232","0,7930512162","1,1606443627",1
"-6,993550389","-7,190706981","3,8108213731","-0,316550337","0,7931424769","1,1515962837",1
"-7,03146217","-7,166409709","3,8056750219","-0,316330696","0,8037288298","1,1578367535",1
"-7,08318457","-7,189636872","3,7805963913","-0,330004091","0,7491402047","1,1478265154",1
"-7,116735664","-7,171488014","3,7822141744","-0,328101424","0,7436137505","1,1433137131",1
"-7,144807364","-7,315514996","4,0424038967","-0,360024919","0,7893563235","1,1808238573",1
"-7,033153333","-7,288550626","4,0341750191","-0,364105724","0,8144677878","1,1988088698",1
"-7,06236579","-7,201924003","3,9334064329","-0,405978712","0,6417383341","1,1699427629",1
"-7,085367015","-7,346855521","3,9929662902","-0,267341332","0,8775955607","1,119693715",1
"-7,047425245","-7,267553629","4,0222413734","-0,394493421","0,6872243864","1,1720750413",1
"-7,055410779","-7,335241098","4,0945356778","-0,36312212","0,7488342717","1,1592872094",1
"-7,070925244","-7,326185262","4,0938593091","-0,365723121","0,7521540668","1,1642224815",1
"-7,052240314","-7,328324597","4,1076682978","-0,341672483","0,7335097902","1,1262106984",1
"-6,96887674","-7,322435694","4,1389813342","-0,34502284","0,7912831072","1,1554166406",1
"-7,03182361","-7,402955596","4,1897430969","-0,318017123","0,8021292488","1,1240116378",1
"-7,051427596","-7,39346459","4,1804010666","-0,316443935","0,8100643817","1,1277132952",1
"-7,082752254","-7,375888139","4,172589448","-0,315020622","0,8191686561","1,132222994",1
"-7,083054503","-7,382293078","4,1726566255","-0,314046141","0,8089818119","1,125957626",1
"-7,056799205","-7,339431565","3,9291309676","-0,286887486","0,8993218024","1,1557905381",1
"-7,049643841","-7,437666154","3,2007424392","0,5057081608","1,7973036997","0,7385015286",1
"-7,08351689","-7,517031242","3,2600696689","0,5254035054","1,8488470263","0,7369127186",1
"-7,068610405","-7,414903892","3,1539588067","0,4854094593","1,7492487501","0,7446817966",1
"-6,996154054","-7,489103055","3,2080152736","0,5011577758","1,7593262704","0,7248291318",1
"-6,915673517","-7,515325264","3,2753451012","0,515711404","1,8512070065","0,7470677699",1
"-6,410616544","-5,825559431","1,8899627994","0,3083338456","0,8539776341","0,2937284405",1
"-6,462575226","-5,855431994","1,9030671577","0,3277309786","0,8679947592","0,2777016613",1
"-6,423349819","-5,887221798","1,9473891467","0,3432739203","0,9345809357","0,2886297458",1
"-6,425088862","-5,922701966","1,9842365845","0,3594000705","0,9620222998","0,2799613515",1
"-6,525819214","-5,925097884","1,9217882674","0,2701964706","1,0071923976","0,4089538659",1
"-6,506496308","-5,91539998","1,9416951276","0,3004824612","0,9925223466","0,3660969625",1
"-6,471136831","-5,70002089","2,4403551608","-0,411808348","0,0771985173","0,7043625678",1
"-6,46462211","-5,76428197","2,7535939038","-0,597316473","-0,095552744","0,8081593187",1
"-6,49677534","-5,69249232","2,7139757173","-0,578869266","-0,120858673","0,78060515",1
"-6,536957571","-5,704819527","2,7444320245","-0,563942642","-0,077972225","0,7822367286",1
"-6,497644541","-5,613729996","2,6600461946","-0,606342345","-0,198375089","0,7790772769",1
"-6,467661255","-5,586292164","2,6391721615","-0,620300698","-0,236384128","0,7775101044",1
"-6,378181307","-5,550086377","2,6293134486","-0,630642433","-0,215248792","0,8008314444",1
"-6,428781854","-5,524539941","2,5895703015","-0,652031103","-0,305908258","0,7831425039",1
"-6,43363359","-5,520701536","2,5875130082","-0,641492612","-0,310844131","0,7690866974",1
