timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668878188013,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,162483,175,1,1,http://192.168.229.128/medium2.pdf,4,0,1
1668878188040,5,HTTP Request,200,OK,Thread Group 1-1,text,true,,162482,175,1,1,http://192.168.229.128/medium2.pdf,2,0,0
1668878188048,5,HTTP Request,200,OK,Thread Group 1-2,bin,true,,52855,175,2,2,http://192.168.229.128/medium1.png,2,0,1
1668878188067,2,HTTP Request,200,OK,Thread Group 1-1,bin,true,,52854,175,2,2,http://192.168.229.128/medium1.png,2,0,0
1668878188080,5,HTTP Request,200,OK,Thread Group 1-3,bin,true,,52855,175,3,3,http://192.168.229.128/medium1.png,2,0,1
1668878188101,8,HTTP Request,200,OK,Thread Group 1-2,text,true,,162482,175,3,3,http://192.168.229.128/medium2.pdf,4,0,0
1668878188120,2,HTTP Request,200,OK,Thread Group 1-1,text,true,,162482,175,4,4,http://192.168.229.128/medium2.pdf,2,0,0
1668878188113,12,HTTP Request,200,OK,Thread Group 1-4,bin,true,,52855,175,4,4,http://192.168.229.128/medium1.png,5,0,4
1668878188145,12,HTTP Request,200,OK,Thread Group 1-5,text,true,,237995,175,5,5,http://192.168.229.128/medium3.pdf,4,0,1
1668878188160,3,HTTP Request,200,OK,Thread Group 1-3,text,true,,162482,175,5,5,http://192.168.229.128/medium2.pdf,1,0,0
1668878188179,6,HTTP Request,200,OK,Thread Group 1-6,bin,true,,52855,175,6,6,http://192.168.229.128/medium1.png,2,0,1
1668878188183,3,HTTP Request,200,OK,Thread Group 1-2,text,true,,162482,175,6,6,http://192.168.229.128/medium2.pdf,3,0,0
1668878188213,12,HTTP Request,200,OK,Thread Group 1-7,bin,true,,52855,175,7,7,http://192.168.229.128/medium1.png,8,0,1
1668878188221,8,HTTP Request,200,OK,Thread Group 1-4,text,true,,237994,175,7,7,http://192.168.229.128/medium3.pdf,3,0,0
1668878188228,1,HTTP Request,200,OK,Thread Group 1-1,bin,true,,52854,175,7,7,http://192.168.229.128/medium1.png,1,0,0
1668878188245,12,HTTP Request,200,OK,Thread Group 1-8,text,true,,237995,175,8,8,http://192.168.229.128/medium3.pdf,4,0,3
1668878188278,11,HTTP Request,200,OK,Thread Group 1-5,text,true,,162482,175,9,9,http://192.168.229.128/medium2.pdf,6,0,0
