timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668877445745,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,237995,175,1,1,http://192.168.229.128/medium3.pdf,3,0,1
1668877445779,7,HTTP Request,200,OK,Thread Group 1-2,text,true,,162483,175,2,2,http://192.168.229.128/medium2.pdf,4,0,1
1668877445811,5,HTTP Request,200,OK,Thread Group 1-3,bin,true,,52855,175,3,3,http://192.168.229.128/medium1.png,4,0,1
1668877445825,2,HTTP Request,200,OK,Thread Group 1-1,text,true,,162482,175,3,3,http://192.168.229.128/medium2.pdf,1,0,0
1668877445843,6,HTTP Request,200,OK,Thread Group 1-4,text,true,,162483,175,4,4,http://192.168.229.128/medium2.pdf,4,0,1
1668877445876,6,HTTP Request,200,OK,Thread Group 1-5,text,true,,237995,175,5,5,http://192.168.229.128/medium3.pdf,2,0,1
1668877445910,6,HTTP Request,200,OK,Thread Group 1-6,bin,true,,52855,175,6,6,http://192.168.229.128/medium1.png,3,0,1
1668877445939,2,HTTP Request,200,OK,Thread Group 1-2,bin,true,,52854,175,6,6,http://192.168.229.128/medium1.png,2,0,0
1668877445942,7,HTTP Request,200,OK,Thread Group 1-7,text,true,,237995,175,7,7,http://192.168.229.128/medium3.pdf,2,0,1
1668877445977,7,HTTP Request,200,OK,Thread Group 1-8,text,true,,162483,175,8,8,http://192.168.229.128/medium2.pdf,4,0,2
1668877446009,9,HTTP Request,200,OK,Thread Group 1-9,text,true,,237995,175,9,9,http://192.168.229.128/medium3.pdf,4,0,2
1668877446041,4,HTTP Request,200,OK,Thread Group 1-10,bin,true,,52855,175,10,10,http://192.168.229.128/medium1.png,3,0,1
1668877446053,4,HTTP Request,200,OK,Thread Group 1-3,text,true,,162482,175,10,10,http://192.168.229.128/medium2.pdf,2,0,0
1668877446065,4,HTTP Request,200,OK,Thread Group 1-1,text,true,,237994,175,10,10,http://192.168.229.128/medium3.pdf,2,0,0
1668877446075,7,HTTP Request,200,OK,Thread Group 1-11,text,true,,162483,175,11,11,http://192.168.229.128/medium2.pdf,3,0,2
1668877446107,5,HTTP Request,200,OK,Thread Group 1-12,text,true,,162483,175,12,12,http://192.168.229.128/medium2.pdf,3,0,2
1668877446140,8,HTTP Request,200,OK,Thread Group 1-13,text,true,,237995,175,13,13,http://192.168.229.128/medium3.pdf,3,0,1
1668877446165,3,HTTP Request,200,OK,Thread Group 1-4,text,true,,162482,175,13,13,http://192.168.229.128/medium2.pdf,2,0,0
1668877446173,6,HTTP Request,200,OK,Thread Group 1-14,text,true,,237995,175,14,14,http://192.168.229.128/medium3.pdf,3,0,1
1668877446206,5,HTTP Request,200,OK,Thread Group 1-15,bin,true,,52855,175,15,15,http://192.168.229.128/medium1.png,3,0,2
1668877446241,6,HTTP Request,200,OK,Thread Group 1-16,text,true,,162483,175,16,16,http://192.168.229.128/medium2.pdf,3,0,1
1668877446277,1,HTTP Request,200,OK,Thread Group 1-5,bin,true,,52854,175,17,17,http://192.168.229.128/medium1.png,1,0,0
1668877446272,7,HTTP Request,200,OK,Thread Group 1-17,text,true,,162483,175,17,17,http://192.168.229.128/medium2.pdf,3,0,1
1668877446305,6,HTTP Request,200,OK,Thread Group 1-18,text,true,,237995,175,18,18,http://192.168.229.128/medium3.pdf,3,0,1
1668877446338,4,HTTP Request,200,OK,Thread Group 1-19,bin,true,,52855,175,19,19,http://192.168.229.128/medium1.png,3,0,1
1668877446372,9,HTTP Request,200,OK,Thread Group 1-20,text,true,,237995,175,20,20,http://192.168.229.128/medium3.pdf,4,0,2
1668877446392,3,HTTP Request,200,OK,Thread Group 1-6,bin,true,,52854,175,20,20,http://192.168.229.128/medium1.png,2,0,0
1668877446405,7,HTTP Request,200,OK,Thread Group 1-21,text,true,,237995,175,21,21,http://192.168.229.128/medium3.pdf,3,0,2
1668877446420,6,HTTP Request,200,OK,Thread Group 1-2,text,true,,237994,175,21,21,http://192.168.229.128/medium3.pdf,1,0,0
1668877446441,5,HTTP Request,200,OK,Thread Group 1-22,text,true,,162483,175,22,22,http://192.168.229.128/medium2.pdf,3,0,1
1668877446471,6,HTTP Request,200,OK,Thread Group 1-23,text,true,,237995,175,23,23,http://192.168.229.128/medium3.pdf,2,0,1
1668877446503,5,HTTP Request,200,OK,Thread Group 1-24,bin,true,,52855,175,24,24,http://192.168.229.128/medium1.png,3,0,2
1668877446502,6,HTTP Request,200,OK,Thread Group 1-7,text,true,,162482,175,24,24,http://192.168.229.128/medium2.pdf,3,0,0
1668877446537,5,HTTP Request,200,OK,Thread Group 1-25,text,true,,162483,175,25,25,http://192.168.229.128/medium2.pdf,3,0,1
1668877446570,6,HTTP Request,200,OK,Thread Group 1-26,text,true,,162483,175,26,26,http://192.168.229.128/medium2.pdf,4,0,2
1668877446603,6,HTTP Request,200,OK,Thread Group 1-27,text,true,,237995,175,27,27,http://192.168.229.128/medium3.pdf,2,0,1
1668877446617,7,HTTP Request,200,OK,Thread Group 1-8,text,true,,237994,175,27,27,http://192.168.229.128/medium3.pdf,3,0,0
1668877446637,12,HTTP Request,200,OK,Thread Group 1-28,text,true,,237995,175,28,28,http://192.168.229.128/medium3.pdf,3,0,2
1668877446668,7,HTTP Request,200,OK,Thread Group 1-29,text,true,,162483,175,29,29,http://192.168.229.128/medium2.pdf,2,0,1
1668877446702,7,HTTP Request,200,OK,Thread Group 1-30,text,true,,237995,175,30,30,http://192.168.229.128/medium3.pdf,2,0,1
