timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668877844997,8,HTTP Request,200,OK,Thread Group 1-1,bin,true,,52855,175,1,1,http://192.168.229.128/medium1.png,7,0,1
1668877845031,9,HTTP Request,200,OK,Thread Group 1-2,text,true,,237995,175,2,2,http://192.168.229.128/medium3.pdf,2,0,1
1668877845037,4,HTTP Request,200,OK,Thread Group 1-1,text,true,,162482,175,2,2,http://192.168.229.128/medium2.pdf,3,0,0
1668877845065,12,HTTP Request,200,OK,Thread Group 1-3,text,true,,162483,175,3,3,http://192.168.229.128/medium2.pdf,4,0,3
1668877845096,8,HTTP Request,200,OK,Thread Group 1-4,text,true,,237995,175,4,4,http://192.168.229.128/medium3.pdf,2,0,1
1668877845111,2,HTTP Request,200,OK,Thread Group 1-2,bin,true,,52854,175,4,4,http://192.168.229.128/medium1.png,2,0,0
1668877845118,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,162482,175,4,4,http://192.168.229.128/medium2.pdf,3,0,0
1668877845129,7,HTTP Request,200,OK,Thread Group 1-5,text,true,,162483,175,5,5,http://192.168.229.128/medium2.pdf,4,0,1
1668877845163,6,HTTP Request,200,OK,Thread Group 1-6,bin,true,,52855,175,6,6,http://192.168.229.128/medium1.png,2,0,1
1668877845186,4,HTTP Request,200,OK,Thread Group 1-3,text,true,,162482,175,6,6,http://192.168.229.128/medium2.pdf,3,0,0
1668877845196,6,HTTP Request,200,OK,Thread Group 1-7,text,true,,162483,175,7,7,http://192.168.229.128/medium2.pdf,2,0,1
1668877845228,9,HTTP Request,200,OK,Thread Group 1-8,text,true,,237995,175,8,8,http://192.168.229.128/medium3.pdf,4,0,1
1668877845257,5,HTTP Request,200,OK,Thread Group 1-4,text,true,,162482,175,9,9,http://192.168.229.128/medium2.pdf,5,0,0
1668877845261,7,HTTP Request,200,OK,Thread Group 1-9,bin,true,,52855,175,9,9,http://192.168.229.128/medium1.png,4,0,3
1668877845271,3,HTTP Request,200,OK,Thread Group 1-2,bin,true,,52854,175,9,9,http://192.168.229.128/medium1.png,3,0,0
1668877845277,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,237994,175,9,9,http://192.168.229.128/medium3.pdf,3,0,0
1668877845295,5,HTTP Request,200,OK,Thread Group 1-10,bin,true,,52855,175,10,10,http://192.168.229.128/medium1.png,4,0,2
1668877845329,3,HTTP Request,200,OK,Thread Group 1-5,bin,true,,52854,175,11,11,http://192.168.229.128/medium1.png,3,0,0
1668877845327,6,HTTP Request,200,OK,Thread Group 1-11,text,true,,162483,175,11,11,http://192.168.229.128/medium2.pdf,2,0,1
1668877845360,8,HTTP Request,200,OK,Thread Group 1-12,text,true,,162483,175,12,12,http://192.168.229.128/medium2.pdf,4,0,2
1668877845394,4,HTTP Request,200,OK,Thread Group 1-13,bin,true,,52855,175,13,13,http://192.168.229.128/medium1.png,3,0,1
1668877845402,3,HTTP Request,200,OK,Thread Group 1-6,bin,true,,52854,175,13,13,http://192.168.229.128/medium1.png,3,0,0
1668877845426,6,HTTP Request,200,OK,Thread Group 1-3,text,true,,237994,175,14,14,http://192.168.229.128/medium3.pdf,3,0,0
1668877845426,10,HTTP Request,200,OK,Thread Group 1-14,text,true,,162483,175,14,14,http://192.168.229.128/medium2.pdf,6,0,3
1668877845459,6,HTTP Request,200,OK,Thread Group 1-15,bin,true,,52855,175,15,15,http://192.168.229.128/medium1.png,4,0,2
1668877845476,2,HTTP Request,200,OK,Thread Group 1-7,bin,true,,52854,175,15,15,http://192.168.229.128/medium1.png,1,0,0
1668877845493,7,HTTP Request,200,OK,Thread Group 1-16,bin,true,,52855,175,16,16,http://192.168.229.128/medium1.png,4,0,3
1668877845526,11,HTTP Request,200,OK,Thread Group 1-17,text,true,,162483,175,17,17,http://192.168.229.128/medium2.pdf,7,0,2
1668877845548,4,HTTP Request,200,OK,Thread Group 1-8,text,true,,237994,175,17,17,http://192.168.229.128/medium3.pdf,1,0,0
1668877845559,9,HTTP Request,200,OK,Thread Group 1-18,text,true,,237995,175,18,18,http://192.168.229.128/medium3.pdf,3,0,1
1668877845592,8,HTTP Request,200,OK,Thread Group 1-19,text,true,,162483,175,19,19,http://192.168.229.128/medium2.pdf,4,0,1
1668877845619,3,HTTP Request,200,OK,Thread Group 1-4,text,true,,237994,175,19,19,http://192.168.229.128/medium3.pdf,2,0,0
1668877845631,2,HTTP Request,200,OK,Thread Group 1-2,bin,true,,52854,175,20,20,http://192.168.229.128/medium1.png,2,0,0
1668877845624,10,HTTP Request,200,OK,Thread Group 1-20,text,true,,162483,175,20,20,http://192.168.229.128/medium2.pdf,5,0,2
1668877845639,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,162482,175,20,20,http://192.168.229.128/medium2.pdf,5,0,0
1668877845622,26,HTTP Request,200,OK,Thread Group 1-9,text,true,,237994,175,20,20,http://192.168.229.128/medium3.pdf,7,0,0
1668877845659,5,HTTP Request,200,OK,Thread Group 1-21,text,true,,162483,175,21,21,http://192.168.229.128/medium2.pdf,2,0,1
1668877845692,6,HTTP Request,200,OK,Thread Group 1-22,bin,true,,52855,175,22,22,http://192.168.229.128/medium1.png,4,0,2
1668877845697,5,HTTP Request,200,OK,Thread Group 1-10,text,true,,237994,175,22,22,http://192.168.229.128/medium3.pdf,1,0,0
1668877845723,7,HTTP Request,200,OK,Thread Group 1-23,bin,true,,52855,175,23,23,http://192.168.229.128/medium1.png,5,0,4
1668877845757,8,HTTP Request,200,OK,Thread Group 1-24,text,true,,237995,175,24,24,http://192.168.229.128/medium3.pdf,3,0,1
1668877845769,4,HTTP Request,200,OK,Thread Group 1-11,bin,true,,52854,175,24,24,http://192.168.229.128/medium1.png,4,0,0
1668877845769,11,HTTP Request,200,OK,Thread Group 1-5,text,true,,237994,175,24,24,http://192.168.229.128/medium3.pdf,4,0,0
1668877845791,6,HTTP Request,200,OK,Thread Group 1-25,text,true,,162483,175,25,25,http://192.168.229.128/medium2.pdf,3,0,1
1668877845822,7,HTTP Request,200,OK,Thread Group 1-26,text,true,,162483,175,26,26,http://192.168.229.128/medium2.pdf,3,0,1
1668877845841,7,HTTP Request,200,OK,Thread Group 1-12,text,true,,162482,175,26,26,http://192.168.229.128/medium2.pdf,4,0,0
1668877845856,6,HTTP Request,200,OK,Thread Group 1-27,bin,true,,52855,175,27,27,http://192.168.229.128/medium1.png,4,0,2
1668877845889,8,HTTP Request,200,OK,Thread Group 1-28,text,true,,237995,175,28,28,http://192.168.229.128/medium3.pdf,4,0,1
1668877845914,10,HTTP Request,200,OK,Thread Group 1-13,text,true,,237994,175,29,29,http://192.168.229.128/medium3.pdf,3,0,0
1668877845924,13,HTTP Request,200,OK,Thread Group 1-6,text,true,,237994,175,29,29,http://192.168.229.128/medium3.pdf,3,0,0
1668877845921,19,HTTP Request,200,OK,Thread Group 1-29,text,true,,237995,175,29,29,http://192.168.229.128/medium3.pdf,6,0,3
1668877845956,9,HTTP Request,200,OK,Thread Group 1-30,text,true,,237995,175,30,30,http://192.168.229.128/medium3.pdf,4,0,1
1668877845986,8,HTTP Request,200,OK,Thread Group 1-3,text,true,,237994,175,30,30,http://192.168.229.128/medium3.pdf,3,0,0
1668877845988,8,HTTP Request,200,OK,Thread Group 1-14,text,true,,237994,175,30,30,http://192.168.229.128/medium3.pdf,2,0,0
1668877846059,2,HTTP Request,200,OK,Thread Group 1-15,bin,true,,52854,175,30,30,http://192.168.229.128/medium1.png,1,0,0
1668877846077,11,HTTP Request,200,OK,Thread Group 1-7,bin,true,,52854,175,30,30,http://192.168.229.128/medium1.png,1,0,0
1668877846133,7,HTTP Request,200,OK,Thread Group 1-16,text,true,,237994,175,30,30,http://192.168.229.128/medium3.pdf,2,0,0
1668877846205,7,HTTP Request,200,OK,Thread Group 1-17,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,3,0,0
1668877846229,8,HTTP Request,200,OK,Thread Group 1-8,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,3,0,0
1668877846279,5,HTTP Request,200,OK,Thread Group 1-18,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,2,0,0
1668877846353,9,HTTP Request,200,OK,Thread Group 1-19,text,true,,237994,175,30,30,http://192.168.229.128/medium3.pdf,4,0,0
1668877846376,4,HTTP Request,200,OK,Thread Group 1-4,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,1,0,0
1668877846422,4,HTTP Request,200,OK,Thread Group 1-9,bin,true,,52854,175,30,30,http://192.168.229.128/medium1.png,3,0,0
1668877846425,8,HTTP Request,200,OK,Thread Group 1-20,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,4,0,0
1668877846431,15,HTTP Request,200,OK,Thread Group 1-2,text,true,,237994,175,30,30,http://192.168.229.128/medium3.pdf,2,0,0
1668877846439,11,HTTP Request,200,OK,Thread Group 1-1,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,7,0,0
1668877846499,5,HTTP Request,200,OK,Thread Group 1-21,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,2,0,0
1668877846575,7,HTTP Request,200,OK,Thread Group 1-10,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,2,0,0
1668877846574,14,HTTP Request,200,OK,Thread Group 1-22,text,true,,237994,175,30,30,http://192.168.229.128/medium3.pdf,3,0,0
1668877846645,5,HTTP Request,200,OK,Thread Group 1-23,bin,true,,52854,175,30,30,http://192.168.229.128/medium1.png,3,0,0
1668877846717,9,HTTP Request,200,OK,Thread Group 1-24,bin,true,,52854,175,30,30,http://192.168.229.128/medium1.png,4,0,0
1668877846728,5,HTTP Request,200,OK,Thread Group 1-11,text,true,,162482,175,30,30,http://192.168.229.128/medium2.pdf,1,0,0
