timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668876285356,13,HTTP Request,200,OK,Thread Group 1-1,text,true,,3969,174,1,1,http://192.168.229.128/small3.txt,13,0,7
1668876285383,2,HTTP Request,200,OK,Thread Group 1-1,text,true,,2547,174,1,1,http://192.168.229.128/small2.txt,2,0,0
1668876285389,8,HTTP Request,200,OK,Thread Group 1-2,text,true,,12172,174,2,2,http://192.168.229.128/small1.txt,8,0,4
1668876285410,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,2547,174,2,2,http://192.168.229.128/small2.txt,3,0,0
1668876285423,10,HTTP Request,200,OK,Thread Group 1-3,text,true,,12172,174,3,3,http://192.168.229.128/small1.txt,6,0,2
1668876285442,3,HTTP Request,200,OK,Thread Group 1-2,text,true,,12171,174,3,3,http://192.168.229.128/small1.txt,3,0,0
1668876285463,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,3968,174,4,4,http://192.168.229.128/small3.txt,3,0,0
1668876285457,9,HTTP Request,200,OK,Thread Group 1-4,text,true,,3969,174,4,4,http://192.168.229.128/small3.txt,9,0,5
1668876285488,5,HTTP Request,200,OK,Thread Group 1-5,text,true,,2548,174,5,5,http://192.168.229.128/small2.txt,5,0,1
1668876285502,3,HTTP Request,200,OK,Thread Group 1-3,text,true,,12171,174,5,5,http://192.168.229.128/small1.txt,3,0,0
1668876285523,2,HTTP Request,200,OK,Thread Group 1-2,text,true,,2547,174,6,6,http://192.168.229.128/small2.txt,2,0,0
1668876285521,12,HTTP Request,200,OK,Thread Group 1-6,text,true,,12172,174,6,6,http://192.168.229.128/small1.txt,8,0,4
1668876285555,6,HTTP Request,200,OK,Thread Group 1-7,text,true,,3969,174,7,7,http://192.168.229.128/small3.txt,6,0,2
1668876285564,5,HTTP Request,200,OK,Thread Group 1-4,text,true,,12171,174,7,7,http://192.168.229.128/small1.txt,5,0,0
1668876285570,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,2547,174,7,7,http://192.168.229.128/small2.txt,7,0,0
1668876285589,8,HTTP Request,200,OK,Thread Group 1-8,text,true,,3969,174,8,8,http://192.168.229.128/small3.txt,8,0,4
1668876285621,12,HTTP Request,200,OK,Thread Group 1-9,text,true,,2548,174,9,9,http://192.168.229.128/small2.txt,12,0,1
1668876285621,12,HTTP Request,200,OK,Thread Group 1-5,text,true,,3968,174,9,9,http://192.168.229.128/small3.txt,12,0,0
1668876285636,3,HTTP Request,200,OK,Thread Group 1-3,text,true,,2547,174,9,9,http://192.168.229.128/small2.txt,3,0,0
1668876285654,3,HTTP Request,200,OK,Thread Group 1-10,text,true,,2548,174,10,10,http://192.168.229.128/small2.txt,3,0,1
1668876285682,3,HTTP Request,200,OK,Thread Group 1-6,text,true,,3968,174,10,10,http://192.168.229.128/small3.txt,3,0,0
1668876285683,2,HTTP Request,200,OK,Thread Group 1-2,text,true,,2547,174,10,10,http://192.168.229.128/small2.txt,2,0,0
1668876285687,7,HTTP Request,200,OK,Thread Group 1-11,text,true,,3969,174,11,11,http://192.168.229.128/small3.txt,7,0,2
1668876285719,9,HTTP Request,200,OK,Thread Group 1-12,text,true,,2548,174,12,12,http://192.168.229.128/small2.txt,9,0,2
1668876285743,10,HTTP Request,200,OK,Thread Group 1-7,text,true,,3968,174,13,13,http://192.168.229.128/small3.txt,10,0,0
1668876285752,9,HTTP Request,200,OK,Thread Group 1-4,text,true,,12171,174,13,13,http://192.168.229.128/small1.txt,9,0,0
1668876285759,11,HTTP Request,200,OK,Thread Group 1-1,text,true,,2547,174,13,13,http://192.168.229.128/small2.txt,11,0,0
1668876285753,17,HTTP Request,200,OK,Thread Group 1-13,text,true,,2548,174,13,13,http://192.168.229.128/small2.txt,17,0,4
1668876285785,9,HTTP Request,200,OK,Thread Group 1-14,text,true,,2548,174,14,14,http://192.168.229.128/small2.txt,9,0,4
1668876285802,4,HTTP Request,200,OK,Thread Group 1-8,text,true,,12171,174,14,14,http://192.168.229.128/small1.txt,4,0,0
1668876285818,8,HTTP Request,200,OK,Thread Group 1-15,text,true,,3969,174,15,15,http://192.168.229.128/small3.txt,8,0,3
1668876285851,6,HTTP Request,200,OK,Thread Group 1-16,text,true,,3969,174,16,16,http://192.168.229.128/small3.txt,6,0,2
1668876285860,1,HTTP Request,200,OK,Thread Group 1-9,text,true,,2547,174,16,16,http://192.168.229.128/small2.txt,1,0,0
1668876285860,9,HTTP Request,200,OK,Thread Group 1-5,text,true,,3968,174,16,16,http://192.168.229.128/small3.txt,9,0,0
1668876285878,3,HTTP Request,200,OK,Thread Group 1-3,text,true,,3968,174,16,16,http://192.168.229.128/small3.txt,3,0,0
1668876285886,7,HTTP Request,200,OK,Thread Group 1-17,text,true,,2548,174,17,17,http://192.168.229.128/small2.txt,7,0,3
1668876285918,7,HTTP Request,200,OK,Thread Group 1-18,text,true,,2548,174,18,18,http://192.168.229.128/small2.txt,7,0,3
1668876285920,5,HTTP Request,200,OK,Thread Group 1-10,text,true,,2547,174,18,18,http://192.168.229.128/small2.txt,5,0,0
1668876285947,6,HTTP Request,200,OK,Thread Group 1-6,text,true,,12171,174,19,19,http://192.168.229.128/small1.txt,2,0,0
1668876285950,3,HTTP Request,200,OK,Thread Group 1-2,text,true,,3968,174,19,19,http://192.168.229.128/small3.txt,3,0,0
1668876285953,9,HTTP Request,200,OK,Thread Group 1-19,text,true,,3969,174,19,19,http://192.168.229.128/small3.txt,9,0,4
1668876285979,14,HTTP Request,200,OK,Thread Group 1-11,text,true,,12171,174,20,20,http://192.168.229.128/small1.txt,6,0,0
1668876285983,16,HTTP Request,200,OK,Thread Group 1-20,text,true,,12172,174,20,20,http://192.168.229.128/small1.txt,16,0,2
1668876286016,9,HTTP Request,200,OK,Thread Group 1-21,text,true,,2548,174,21,21,http://192.168.229.128/small2.txt,9,0,5
1668876286039,7,HTTP Request,200,OK,Thread Group 1-12,text,true,,3968,174,21,21,http://192.168.229.128/small3.txt,7,0,0
1668876286051,6,HTTP Request,200,OK,Thread Group 1-22,text,true,,12172,174,22,22,http://192.168.229.128/small1.txt,6,0,2
1668876286084,5,HTTP Request,200,OK,Thread Group 1-23,text,true,,2548,174,23,23,http://192.168.229.128/small2.txt,5,0,1
