timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668875270809,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,3969,174,1,1,http://192.168.229.128/small3.txt,3,0,1
1668875270843,5,HTTP Request,200,OK,Thread Group 1-2,text,true,,12172,174,2,2,http://192.168.229.128/small1.txt,5,0,2
1668875270877,3,HTTP Request,200,OK,Thread Group 1-3,text,true,,2548,174,3,3,http://192.168.229.128/small2.txt,3,0,1
1668875270890,2,HTTP Request,200,OK,Thread Group 1-1,text,true,,3968,174,3,3,http://192.168.229.128/small3.txt,2,0,0
1668875270909,4,HTTP Request,200,OK,Thread Group 1-4,text,true,,3969,174,4,4,http://192.168.229.128/small3.txt,4,0,2
1668875270942,3,HTTP Request,200,OK,Thread Group 1-5,text,true,,3969,174,5,5,http://192.168.229.128/small3.txt,3,0,1
1668875270975,3,HTTP Request,200,OK,Thread Group 1-6,text,true,,12172,174,6,6,http://192.168.229.128/small1.txt,2,0,1
1668875271004,3,HTTP Request,200,OK,Thread Group 1-2,text,true,,3968,174,6,6,http://192.168.229.128/small3.txt,3,0,0
1668875271009,5,HTTP Request,200,OK,Thread Group 1-7,text,true,,2548,174,7,7,http://192.168.229.128/small2.txt,5,0,3
1668875271041,3,HTTP Request,200,OK,Thread Group 1-8,text,true,,3969,174,8,8,http://192.168.229.128/small3.txt,3,0,2
1668875271074,3,HTTP Request,200,OK,Thread Group 1-9,text,true,,3969,174,9,9,http://192.168.229.128/small3.txt,3,0,1
1668875271106,3,HTTP Request,200,OK,Thread Group 1-10,text,true,,12172,174,10,10,http://192.168.229.128/small1.txt,2,0,1
1668875271117,3,HTTP Request,200,OK,Thread Group 1-3,text,true,,3968,174,10,10,http://192.168.229.128/small3.txt,3,0,0
1668875271129,5,HTTP Request,200,OK,Thread Group 1-1,text,true,,3968,174,10,10,http://192.168.229.128/small3.txt,5,0,0
1668875271140,5,HTTP Request,200,OK,Thread Group 1-11,text,true,,3969,174,11,11,http://192.168.229.128/small3.txt,5,0,1
1668875271172,5,HTTP Request,200,OK,Thread Group 1-12,text,true,,2548,174,12,12,http://192.168.229.128/small2.txt,5,0,3
1668875271206,3,HTTP Request,200,OK,Thread Group 1-13,text,true,,12172,174,13,13,http://192.168.229.128/small1.txt,3,0,1
1668875271229,2,HTTP Request,200,OK,Thread Group 1-4,text,true,,3968,174,13,13,http://192.168.229.128/small3.txt,2,0,0
1668875271239,3,HTTP Request,200,OK,Thread Group 1-14,text,true,,3969,174,14,14,http://192.168.229.128/small3.txt,3,0,1
1668875271272,4,HTTP Request,200,OK,Thread Group 1-15,text,true,,3969,174,15,15,http://192.168.229.128/small3.txt,4,0,2
1668875271306,7,HTTP Request,200,OK,Thread Group 1-16,text,true,,12172,174,16,16,http://192.168.229.128/small1.txt,7,0,3
1668875271337,8,HTTP Request,200,OK,Thread Group 1-17,text,true,,2548,174,17,17,http://192.168.229.128/small2.txt,8,0,3
1668875271341,4,HTTP Request,200,OK,Thread Group 1-5,text,true,,2547,174,17,17,http://192.168.229.128/small2.txt,4,0,0
1668875271374,3,HTTP Request,200,OK,Thread Group 1-18,text,true,,2548,174,18,18,http://192.168.229.128/small2.txt,3,0,1
1668875271403,4,HTTP Request,200,OK,Thread Group 1-19,text,true,,3969,174,19,19,http://192.168.229.128/small3.txt,4,0,2
1668875271436,4,HTTP Request,200,OK,Thread Group 1-20,text,true,,2548,174,20,20,http://192.168.229.128/small2.txt,4,0,2
1668875271454,2,HTTP Request,200,OK,Thread Group 1-6,text,true,,2547,174,20,20,http://192.168.229.128/small2.txt,2,0,0
1668875271469,4,HTTP Request,200,OK,Thread Group 1-21,text,true,,12172,174,21,21,http://192.168.229.128/small1.txt,4,0,2
1668875271482,2,HTTP Request,200,OK,Thread Group 1-2,text,true,,2547,174,21,21,http://192.168.229.128/small2.txt,2,0,0
1668875271502,3,HTTP Request,200,OK,Thread Group 1-22,text,true,,3969,174,22,22,http://192.168.229.128/small3.txt,3,0,2
1668875271536,5,HTTP Request,200,OK,Thread Group 1-23,text,true,,2548,174,23,23,http://192.168.229.128/small2.txt,4,0,2
1668875271569,3,HTTP Request,200,OK,Thread Group 1-7,text,true,,3968,174,24,24,http://192.168.229.128/small3.txt,3,0,0
1668875271568,5,HTTP Request,200,OK,Thread Group 1-24,text,true,,2548,174,24,24,http://192.168.229.128/small2.txt,5,0,1
1668875271602,3,HTTP Request,200,OK,Thread Group 1-25,text,true,,12172,174,25,25,http://192.168.229.128/small1.txt,3,0,2
1668875271634,2,HTTP Request,200,OK,Thread Group 1-26,text,true,,12172,174,26,26,http://192.168.229.128/small1.txt,2,0,1
1668875271670,3,HTTP Request,200,OK,Thread Group 1-27,text,true,,3969,174,27,27,http://192.168.229.128/small3.txt,3,0,1
1668875271682,2,HTTP Request,200,OK,Thread Group 1-8,text,true,,3968,174,27,27,http://192.168.229.128/small3.txt,2,0,0
1668875271700,4,HTTP Request,200,OK,Thread Group 1-28,text,true,,12172,174,28,28,http://192.168.229.128/small1.txt,4,0,2
1668875271734,3,HTTP Request,200,OK,Thread Group 1-29,text,true,,2548,174,29,29,http://192.168.229.128/small2.txt,3,0,1
