timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666880321605,26,HTTP Request 2,200,OK,Thread Group 1 1-1,bin,true,,1335,168,1,1,http://192.168.56.101/1kb.png,26,0,1
1666880321646,23,HTTP Request 5,200,OK,Thread Group 1 1-1,bin,true,,5773,175,2,2,http://192.168.56.101/fiore_rosa.jpg,23,0,0
1666880321655,50,HTTP Request 10,200,OK,Thread Group 1 1-2,text,true,,2311,173,2,2,http://192.168.56.101/testo2kb.txt,50,0,1
1666880321707,2,HTTP Request 10,200,OK,Thread Group 1 1-3,text,true,,2311,173,3,3,http://192.168.56.101/testo2kb.txt,2,0,1
1666880321724,21,HTTP Request 8,200,OK,Thread Group 1 1-1,bin,true,,73920,175,3,3,http://192.168.56.101/margherita.jpg,20,0,0
1666880321756,2,HTTP Request 5,200,OK,Thread Group 1 1-4,bin,true,,5774,175,4,4,http://192.168.56.101/fiore_rosa.jpg,2,0,2
1666880321736,37,HTTP Request 3,200,OK,Thread Group 1 1-2,bin,true,,838599,168,4,4,http://192.168.56.101/adc.jpg,20,0,0
1666880321826,14,HTTP Request 2,200,OK,Thread Group 1 1-3,bin,true,,1334,168,5,5,http://192.168.56.101/1kb.png,14,0,0
1666880321843,2,HTTP Request 10,200,OK,Thread Group 1 1-1,text,true,,2310,173,5,5,http://192.168.56.101/testo2kb.txt,2,0,0
1666880321894,41,HTTP Request 3,200,OK,Thread Group 1 1-2,bin,true,,838599,168,7,7,http://192.168.56.101/adc.jpg,5,0,0
1666880321916,35,HTTP Request 7,200,OK,Thread Group 1 1-4,text,true,,11228,171,7,7,http://192.168.56.101/index.html,35,0,0
1666880321911,90,HTTP Request 6,200,OK,Thread Group 1 1-7,bin,true,,519375,171,8,8,http://192.168.56.101/hanami.jpg,20,0,5
1666880321861,157,HTTP Request 6,200,OK,Thread Group 1 1-6,bin,true,,519375,171,9,9,http://192.168.56.101/hanami.jpg,62,0,3
1666880321963,58,HTTP Request 6,200,OK,Thread Group 1 1-8,bin,true,,519375,171,9,9,http://192.168.56.101/hanami.jpg,5,0,3
1666880322015,8,HTTP Request 8,200,OK,Thread Group 1 1-9,bin,true,,73921,175,9,9,http://192.168.56.101/margherita.jpg,7,0,3
1666880322026,1,HTTP Request 2,200,OK,Thread Group 1 1-3,bin,true,,1334,168,9,9,http://192.168.56.101/1kb.png,1,0,0
1666880322045,2,HTTP Request 8,200,OK,Thread Group 1 1-1,bin,true,,73920,175,9,9,http://192.168.56.101/margherita.jpg,1,0,0
1666880322057,3,HTTP Request 8,200,OK,Thread Group 1 1-10,bin,true,,73921,175,10,10,http://192.168.56.101/margherita.jpg,2,0,1
1666880322107,5,HTTP Request 5,200,OK,Thread Group 1 1-11,bin,true,,5774,175,11,11,http://192.168.56.101/fiore_rosa.jpg,5,0,4
1666880321811,301,HTTP Request 9,200,OK,Thread Group 1 1-5,bin,true,,2170119,172,11,11,http://192.168.56.101/ohmetro.jpg,28,0,1
