timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666881581961,391,HTTP Request 8,200,OK,Thread Group 1 1-9,bin,true,,73921,175,16,16,http://192.168.56.101/margherita.jpg,386,0,3
1666881581654,708,HTTP Request 8,200,OK,Thread Group 1 1-3,bin,true,,73921,175,17,17,http://192.168.56.101/margherita.jpg,696,0,1
1666881581812,551,HTTP Request 8,200,OK,Thread Group 1 1-6,bin,true,,73921,175,17,17,http://192.168.56.101/margherita.jpg,538,0,3
1666881582210,156,HTTP Request 8,200,OK,Thread Group 1 1-14,bin,true,,73921,175,17,17,http://192.168.56.101/margherita.jpg,145,0,2
1666881581907,466,HTTP Request 1,200,OK,Thread Group 1 1-8,bin,true,,168089,170,17,17,http://192.168.56.101/fiore.jpg,420,0,2
1666881582056,318,HTTP Request 8,200,OK,Thread Group 1 1-11,bin,true,,73921,175,17,17,http://192.168.56.101/margherita.jpg,300,0,2
1666881581604,772,HTTP Request 1,200,OK,Thread Group 1 1-2,bin,true,,168089,170,17,17,http://192.168.56.101/fiore.jpg,725,0,1
1666881581703,676,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,168089,170,17,17,http://192.168.56.101/fiore.jpg,625,0,1
1666881582162,224,HTTP Request 1,200,OK,Thread Group 1 1-13,bin,true,,168089,170,17,17,http://192.168.56.101/fiore.jpg,166,0,3
1666881582013,374,HTTP Request 1,200,OK,Thread Group 1 1-10,bin,true,,168089,170,17,17,http://192.168.56.101/fiore.jpg,317,0,2
1666881582458,3,HTTP Request 8,200,OK,Thread Group 1 1-19,bin,true,,73921,175,19,19,http://192.168.56.101/margherita.jpg,2,0,1
1666881582359,102,HTTP Request 1,200,OK,Thread Group 1 1-17,bin,true,,168089,170,19,19,http://192.168.56.101/fiore.jpg,29,0,3
1666881582258,209,HTTP Request 1,200,OK,Thread Group 1 1-15,bin,true,,168089,170,19,19,http://192.168.56.101/fiore.jpg,74,0,2
1666881581554,913,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,168089,170,19,19,http://192.168.56.101/fiore.jpg,777,0,2
1666881582467,23,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,168088,170,19,19,http://192.168.56.101/fiore.jpg,18,0,0
1666881582362,128,HTTP Request 1,200,OK,Thread Group 1 1-3,bin,true,,168088,170,19,19,http://192.168.56.101/fiore.jpg,121,0,0
1666881582587,25,HTTP Request 1,200,OK,Thread Group 1 1-8,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,4,0,0
1666881582602,11,HTTP Request 8,200,OK,Thread Group 1 1-9,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,3,0,0
1666881582734,18,HTTP Request 8,200,OK,Thread Group 1 1-11,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,10,0,0
1666881582889,22,HTTP Request 8,200,OK,Thread Group 1 1-14,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,4,0,0
1666881583018,17,HTTP Request 1,200,OK,Thread Group 1 1-15,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,5,0,0
1666881583122,21,HTTP Request 8,200,OK,Thread Group 1 1-3,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,10,0,0
1666881583217,28,HTTP Request 8,200,OK,Thread Group 1 1-19,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,7,0,0
1666881583226,50,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,24,0,0
1666881583387,49,HTTP Request 1,200,OK,Thread Group 1 1-8,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,9,0,0
1666881583402,52,HTTP Request 1,200,OK,Thread Group 1 1-9,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,20,0,0
1666881583689,109,HTTP Request 1,200,OK,Thread Group 1 1-14,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,14,0,0
1666881583922,31,HTTP Request 1,200,OK,Thread Group 1 1-3,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,11,0,0
1666881584026,16,HTTP Request 8,200,OK,Thread Group 1 1-1,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,6,0,0
1666881584019,30,HTTP Request 1,200,OK,Thread Group 1 1-19,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,7,0,0
1666881584188,62,HTTP Request 1,200,OK,Thread Group 1 1-8,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,55,0,0
1666881584200,129,HTTP Request 1,200,OK,Thread Group 1 1-9,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,62,0,0
1666881583820,663,HTTP Request 4,200,OK,Thread Group 1 1-15,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,7,0,0
1666881582694,1817,HTTP Request 4,200,OK,Thread Group 1 1-10,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,5,0,0
1666881584490,29,HTTP Request 8,200,OK,Thread Group 1 1-14,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,7,0,0
1666881581856,2663,HTTP Request 4,200,OK,Thread Group 1 1-7,bin,true,,17036538,172,20,20,http://192.168.56.101/bangkok.jpg,468,0,2
1666881584511,16,HTTP Request 8,200,OK,Thread Group 1 1-10,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,11,0,0
1666881582842,1687,HTTP Request 4,200,OK,Thread Group 1 1-13,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,3,0,0
1666881584519,16,HTTP Request 8,200,OK,Thread Group 1 1-7,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,9,0,0
1666881582506,2053,HTTP Request 4,200,OK,Thread Group 1 1-20,bin,true,,17036538,172,20,20,http://192.168.56.101/bangkok.jpg,10,0,5
1666881582494,2069,HTTP Request 4,200,OK,Thread Group 1 1-6,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,8,0,0
1666881584563,23,HTTP Request 1,200,OK,Thread Group 1 1-6,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,15,0,0
1666881583120,1467,HTTP Request 4,200,OK,Thread Group 1 1-17,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,9,0,0
1666881584587,17,HTTP Request 8,200,OK,Thread Group 1 1-17,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,10,0,0
1666881582377,2230,HTTP Request 4,200,OK,Thread Group 1 1-2,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,110,0,0
1666881582307,2303,HTTP Request 4,200,OK,Thread Group 1 1-16,bin,true,,17036538,172,20,20,http://192.168.56.101/bangkok.jpg,26,0,2
1666881581762,2855,HTTP Request 4,200,OK,Thread Group 1 1-5,bin,true,,17036538,172,20,20,http://192.168.56.101/bangkok.jpg,560,0,1
1666881584607,23,HTTP Request 1,200,OK,Thread Group 1 1-2,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,11,0,0
1666881584610,31,HTTP Request 1,200,OK,Thread Group 1 1-16,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,11,0,0
1666881582406,2242,HTTP Request 4,200,OK,Thread Group 1 1-18,bin,true,,17036538,172,20,20,http://192.168.56.101/bangkok.jpg,31,0,1
1666881582106,2542,HTTP Request 4,200,OK,Thread Group 1 1-12,bin,true,,17036538,172,20,20,http://192.168.56.101/bangkok.jpg,216,0,2
1666881582383,2281,HTTP Request 4,200,OK,Thread Group 1 1-4,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,100,0,0
1666881584664,15,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,7,0,0
1666881584724,63,HTTP Request 8,200,OK,Thread Group 1 1-3,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,35,0,0
1666881584816,65,HTTP Request 1,200,OK,Thread Group 1 1-19,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,24,0,0
1666881584827,57,HTTP Request 1,200,OK,Thread Group 1 1-1,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,16,0,0
1666881583536,1422,HTTP Request 4,200,OK,Thread Group 1 1-11,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,21,0,0
1666881584987,36,HTTP Request 8,200,OK,Thread Group 1 1-8,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,16,0,0
1666881585000,45,HTTP Request 8,200,OK,Thread Group 1 1-9,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,9,0,0
1666881585311,18,HTTP Request 8,200,OK,Thread Group 1 1-10,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,9,0,0
1666881585291,66,HTTP Request 8,200,OK,Thread Group 1 1-14,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,7,0,0
1666881585388,26,HTTP Request 1,200,OK,Thread Group 1 1-17,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,7,0,0
1666881585409,38,HTTP Request 1,200,OK,Thread Group 1 1-2,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,21,0,0
1666881585466,40,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,9,0,0
1666881584648,952,HTTP Request 4,200,OK,Thread Group 1 1-18,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,7,0,0
1666881585523,121,HTTP Request 1,200,OK,Thread Group 1 1-3,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,8,0,0
1666881584529,1126,HTTP Request 4,200,OK,Thread Group 1 1-13,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,6,0,0
1666881585655,58,HTTP Request 8,200,OK,Thread Group 1 1-13,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,52,0,0
1666881584648,1142,HTTP Request 4,200,OK,Thread Group 1 1-12,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,8,0,0
1666881585791,21,HTTP Request 1,200,OK,Thread Group 1 1-12,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,14,0,0
1666881584620,1247,HTTP Request 4,200,OK,Thread Group 1 1-15,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,8,0,0
1666881584617,1251,HTTP Request 4,200,OK,Thread Group 1 1-5,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,9,0,0
1666881585800,69,HTTP Request 8,200,OK,Thread Group 1 1-9,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,10,0,0
1666881585867,20,HTTP Request 8,200,OK,Thread Group 1 1-15,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,12,0,0
1666881584560,1414,HTTP Request 4,200,OK,Thread Group 1 1-20,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,9,0,0
1666881585974,26,HTTP Request 8,200,OK,Thread Group 1 1-20,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,15,0,0
1666881586113,34,HTTP Request 8,200,OK,Thread Group 1 1-10,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,11,0,0
1666881584958,1306,HTTP Request 4,200,OK,Thread Group 1 1-11,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,7,0,0
1666881586264,63,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,56,0,0
1666881586264,112,HTTP Request 8,200,OK,Thread Group 1 1-11,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,57,0,0
1666881586456,54,HTTP Request 1,200,OK,Thread Group 1 1-13,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,43,0,0
1666881586589,15,HTTP Request 8,200,OK,Thread Group 1 1-12,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,11,0,0
1666881585319,1350,HTTP Request 4,200,OK,Thread Group 1 1-7,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,18,0,0
1666881585601,1436,HTTP Request 4,200,OK,Thread Group 1 1-18,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,93,0,0
1666881587037,12,HTTP Request 8,200,OK,Thread Group 1 1-18,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,6,0,0
1666881585364,1728,HTTP Request 4,200,OK,Thread Group 1 1-6,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,9,0,0
1666881587066,41,HTTP Request 8,200,OK,Thread Group 1 1-4,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,29,0,0
1666881587092,18,HTTP Request 8,200,OK,Thread Group 1 1-6,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,13,0,0
1666881585412,1887,HTTP Request 4,200,OK,Thread Group 1 1-16,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,16,0,0
1666881587299,13,HTTP Request 8,200,OK,Thread Group 1 1-16,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,8,0,0
1666881585629,1812,HTTP Request 4,200,OK,Thread Group 1 1-1,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,80,0,0
1666881587441,22,HTTP Request 8,200,OK,Thread Group 1 1-1,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,14,0,0
1666881587390,73,HTTP Request 1,200,OK,Thread Group 1 1-12,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,13,0,0
1666881585869,1700,HTTP Request 4,200,OK,Thread Group 1 1-5,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,15,0,0
1666881586189,1407,HTTP Request 4,200,OK,Thread Group 1 1-17,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,6,0,0
1666881585786,1821,HTTP Request 4,200,OK,Thread Group 1 1-8,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,28,0,0
1666881587607,23,HTTP Request 8,200,OK,Thread Group 1 1-8,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,18,0,0
1666881587866,49,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,8,0,0
1666881585619,3026,HTTP Request 4,200,OK,Thread Group 1 1-19,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,31,0,0
1666881588669,139,HTTP Request 1,200,OK,Thread Group 1 1-4,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,17,0,0
1666881586669,2187,HTTP Request 4,200,OK,Thread Group 1 1-7,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,13,0,0
1666881586207,2659,HTTP Request 4,200,OK,Thread Group 1 1-2,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,4,0,0
1666881588866,34,HTTP Request 8,200,OK,Thread Group 1 1-2,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,24,0,0
1666881588856,52,HTTP Request 1,200,OK,Thread Group 1 1-7,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,25,0,0
1666881586668,2754,HTTP Request 4,200,OK,Thread Group 1 1-15,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,19,0,0
1666881589422,230,HTTP Request 1,200,OK,Thread Group 1 1-15,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,185,0,0
1666881589656,36,HTTP Request 8,200,OK,Thread Group 1 1-7,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,11,0,0
1666881586774,2933,HTTP Request 4,200,OK,Thread Group 1 1-20,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,9,0,0
1666881589707,19,HTTP Request 8,200,OK,Thread Group 1 1-20,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,9,0,0
1666881589668,70,HTTP Request 1,200,OK,Thread Group 1 1-2,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,19,0,0
1666881586089,3813,HTTP Request 4,200,OK,Thread Group 1 1-14,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,9,0,0
1666881586911,3022,HTTP Request 4,200,OK,Thread Group 1 1-10,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,9,0,0
1666881589902,90,HTTP Request 1,200,OK,Thread Group 1 1-14,bin,true,,168088,170,20,20,http://192.168.56.101/fiore.jpg,20,0,0
1666881587569,2671,HTTP Request 4,200,OK,Thread Group 1 1-5,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,6,0,0
1666881587596,2646,HTTP Request 4,200,OK,Thread Group 1 1-17,bin,true,,17036537,172,20,20,http://192.168.56.101/bangkok.jpg,22,0,0
1666881590222,34,HTTP Request 8,200,OK,Thread Group 1 1-15,bin,true,,73920,175,20,20,http://192.168.56.101/margherita.jpg,15,0,0
