elapsed,label,bytes,sentBytes,Latency,Cluster
26,HTTP Request 2,1335,168,26,1
23,HTTP Request 5,5773,175,23,11
50,HTTP Request 10,2311,173,50,11
2,HTTP Request 10,2311,173,2,12
21,HTTP Request 8,73920,175,20,11
2,HTTP Request 5,5774,175,2,13
37,HTTP Request 3,838599,168,20,2
14,HTTP Request 2,1334,168,14,2
2,HTTP Request 10,2310,173,2,12
41,HTTP Request 3,838599,168,5,4
35,HTTP Request 7,11228,171,35,11
90,HTTP Request 6,519375,171,20,11
157,HTTP Request 6,519375,171,62,6
58,HTTP Request 6,519375,171,5,15
8,HTTP Request 8,73921,175,7,13
1,HTTP Request 2,1334,168,1,4
2,HTTP Request 8,73920,175,1,13
3,HTTP Request 8,73921,175,2,13
5,HTTP Request 5,5774,175,5,13
301,HTTP Request 9,2170119,172,28,11
1,HTTP Request 2,1334,168,1,4
32,HTTP Request 1,168089,170,29,11
1,HTTP Request 7,11228,171,1,15
2,HTTP Request 10,2311,173,2,12
1,HTTP Request 5,5773,175,1,13
23,HTTP Request 3,838599,168,1,4
2,HTTP Request 8,73920,175,1,13
3,HTTP Request 8,73921,175,2,13
5,HTTP Request 7,11229,171,5,15
41,HTTP Request 6,519374,171,2,15
5,HTTP Request 7,11229,171,5,15
25,HTTP Request 6,519374,171,2,15
15,HTTP Request 5,5773,175,15,13
37,HTTP Request 3,838600,168,5,4
13,HTTP Request 5,5773,175,13,13
24,HTTP Request 6,519375,171,6,15
138,HTTP Request 9,2170118,172,6,12
12,HTTP Request 5,5774,175,12,13
39,HTTP Request 3,838599,168,3,4
5,HTTP Request 8,73920,175,3,13
24,HTTP Request 8,73920,175,20,11
18,HTTP Request 8,73920,175,7,13
2,HTTP Request 5,5773,175,1,13
11,HTTP Request 1,168088,170,2,15
16,HTTP Request 8,73920,175,14,13
133,HTTP Request 9,2170118,172,13,11
110,HTTP Request 6,519374,171,81,6
4,HTTP Request 2,1334,168,4,4
40,HTTP Request 5,5773,175,40,11
75,HTTP Request 8,73920,175,67,6
8,HTTP Request 10,2310,173,8,12
13,HTTP Request 7,11228,171,10,15
18,HTTP Request 10,2310,173,18,11
129,HTTP Request 3,838599,168,8,4
75,HTTP Request 6,519374,171,13,15
12,HTTP Request 7,11228,171,12,15
19,HTTP Request 1,168088,170,6,15
24,HTTP Request 3,838599,168,9,4
3,HTTP Request 5,5773,175,3,13
79,HTTP Request 9,2170118,172,7,12
18,HTTP Request 1,168088,170,7,15
25,HTTP Request 6,519374,171,3,15
6,HTTP Request 2,1334,168,6,4
80,HTTP Request 9,2170118,172,6,12
15,HTTP Request 2,1334,168,15,2
840,HTTP Request 4,17036537,172,17,14
3,HTTP Request 1,168088,170,1,15
1246,HTTP Request 4,17036538,172,37,14
1,HTTP Request 8,73920,175,1,13
5,HTTP Request 6,519374,171,1,15
2,HTTP Request 10,2310,173,2,12
2,HTTP Request 7,11228,171,2,15
2,HTTP Request 2,1334,168,2,4
2,HTTP Request 7,11228,171,2,15
20,HTTP Request 6,519374,171,2,15
5,HTTP Request 10,2310,173,5,12
29,HTTP Request 3,838599,168,2,4
15,HTTP Request 6,519374,171,1,15
4,HTTP Request 8,73920,175,2,13
2,HTTP Request 5,5773,175,2,13
3,HTTP Request 10,2310,173,3,12
6,HTTP Request 8,73920,175,2,13
14,HTTP Request 6,519374,171,2,15
19,HTTP Request 1,168088,170,12,15
37,HTTP Request 3,838599,168,3,4
4,HTTP Request 10,2310,173,4,12
58,HTTP Request 9,2170118,172,9,12
2,HTTP Request 10,2310,173,2,12
8,HTTP Request 1,168088,170,2,15
30,HTTP Request 3,838599,168,6,4
2,HTTP Request 10,2310,173,2,12
32,HTTP Request 3,838599,168,2,4
4,HTTP Request 10,2310,173,4,12
73,HTTP Request 9,2170118,172,2,12
15,HTTP Request 1,168088,170,8,15
4,HTTP Request 8,73920,175,2,13
2,HTTP Request 7,11228,171,2,15
3,HTTP Request 2,1334,168,2,4
1,HTTP Request 10,2310,173,1,12
2,HTTP Request 10,2310,173,2,12
3,HTTP Request 7,11228,171,2,15
6,HTTP Request 8,73920,175,3,13
4,HTTP Request 8,73920,175,2,13
2,HTTP Request 7,11228,171,2,15
11,HTTP Request 1,168088,170,5,15
28,HTTP Request 3,838599,168,2,4
2,HTTP Request 7,11228,171,2,15
6,HTTP Request 5,5773,175,6,13
3,HTTP Request 5,5773,175,3,13
62,HTTP Request 9,2170118,172,1,12
15,HTTP Request 8,73920,175,12,13
45,HTTP Request 3,838599,168,7,4
6,HTTP Request 1,168088,170,2,15
1,HTTP Request 2,1334,168,1,4
2,HTTP Request 10,2310,173,2,12
46,HTTP Request 3,838599,168,2,4
45,HTTP Request 6,519374,171,6,15
2,HTTP Request 5,5773,175,2,13
3,HTTP Request 2,1334,168,3,4
32,HTTP Request 6,519374,171,8,15
6,HTTP Request 2,1334,168,6,4
18,HTTP Request 8,73920,175,7,13
23,HTTP Request 8,73920,175,18,11
6,HTTP Request 8,73920,175,6,13
8,HTTP Request 6,519374,171,3,15
366,HTTP Request 4,17036537,172,1,14
4,HTTP Request 7,11228,171,4,15
2,HTTP Request 2,1334,168,2,4
5,HTTP Request 8,73920,175,3,13
231,HTTP Request 4,17036537,172,7,14
4,HTTP Request 7,11228,171,4,15
21,HTTP Request 3,838599,168,1,4
1,HTTP Request 7,11228,171,1,15
3,HTTP Request 7,11228,171,2,15
4,HTTP Request 8,73920,175,2,13
2,HTTP Request 5,5773,175,2,13
4,HTTP Request 8,73920,175,2,13
2,HTTP Request 10,2310,173,2,12
2,HTTP Request 2,1334,168,2,4
27,HTTP Request 1,168088,170,10,15
12,HTTP Request 7,11228,171,8,15
