r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
6,0,247456,73372,11840,415864,51,641,4344,1500,1851,1119,25,27,16,33,0
0,0,247456,73120,11840,415884,0,0,0,0,176,480,13,3,84,0,0
0,0,247456,73120,11840,415884,0,0,0,0,97,206,1,0,99,0,0
0,0,247456,73120,11840,415884,0,0,0,0,313,1072,19,9,72,0,0
0,0,247456,73120,11840,415884,0,0,0,0,248,782,11,3,86,0,0
0,1,247456,67576,11848,419604,0,0,3720,32,969,504,3,16,55,26,0
5,0,250024,81372,10400,408320,0,2716,6692,2716,2119,784,6,74,17,3,0
0,1,250024,69276,10540,418252,60,0,10180,0,3967,686,2,49,19,29,0
0,0,249768,69276,10552,418428,56,0,188,48,1107,580,4,22,70,4,0
0,0,249768,69276,10552,418432,16,0,16,0,4041,683,2,44,53,0,0
1,0,249768,69276,10556,418444,0,0,4,332,5983,731,3,47,50,0,0
0,0,249768,69024,10556,418452,0,0,8,0,7466,741,2,57,40,1,0
1,0,249768,69024,10556,418512,0,0,56,0,5617,646,1,52,46,0,0
2,0,249768,69024,10564,418516,0,0,0,68,4192,535,1,36,44,18,0
2,0,249768,69024,10564,418520,0,0,0,0,4005,549,4,37,60,0,0
0,1,249768,68268,10564,419112,0,0,592,324,8776,769,4,79,18,0,0
1,1,249768,68268,10564,419336,96,0,348,0,3027,680,3,42,52,3,0
3,0,249768,68268,10564,419432,0,0,64,0,5871,682,4,73,14,10,0
2,0,249768,65804,10572,419436,0,0,0,60,12020,929,0,87,13,0,0
0,0,249768,65804,10572,419440,0,0,0,0,5080,540,0,41,59,0,0
3,0,249768,65804,10572,419440,0,0,4,0,992,412,4,15,81,0,0
0,0,249768,65804,10572,419448,0,0,0,0,8600,672,1,66,33,0,0
2,0,249768,65804,10572,419452,0,0,0,0,3145,487,2,30,67,0,0
2,0,249768,65804,10580,419456,0,0,0,16,4861,558,2,49,48,1,0
2,0,249768,66876,10580,419456,0,0,0,0,5310,667,1,63,36,0,0
0,0,249768,66876,10580,419460,0,0,0,0,2985,486,3,39,58,0,0
1,0,249768,66876,10580,419464,0,0,0,0,1078,424,8,22,70,0,0
1,0,249768,66876,10580,419468,0,0,0,0,6144,725,5,63,32,0,0
1,0,249768,66876,10588,419472,0,0,0,28,1923,521,3,40,55,1,0
1,0,249768,66876,10588,419476,0,0,0,0,9851,843,4,71,25,0,0
1,0,249768,66876,10588,419476,0,0,0,0,6990,687,2,65,33,0,0
0,0,249768,66876,10588,419480,28,0,28,0,3971,523,1,38,58,2,0
3,0,249768,66876,10588,419484,0,0,0,0,1860,489,2,31,67,0,0
1,0,249768,66876,10596,419488,0,0,0,16,7120,667,2,57,41,0,0
0,0,249768,66876,10596,419492,0,0,0,0,6111,628,2,58,40,0,0
0,0,249768,66876,10596,419492,0,0,0,0,5445,575,2,57,41,0,0
4,0,249768,66876,10596,419496,0,0,0,104,3516,584,3,48,48,0,0
0,0,249768,65756,10596,419612,0,0,112,0,11383,1038,6,86,8,0,0
1,0,249768,65756,10604,419612,0,0,0,44,6126,577,0,51,48,1,0
2,0,249768,65756,10604,419616,0,0,0,0,6061,598,1,52,47,0,0
0,0,249768,65756,10604,419620,0,0,0,0,4518,547,1,43,56,0,0
1,0,249768,65756,10604,419624,0,0,0,0,8184,723,2,66,32,0,0
0,0,249768,65756,10604,419628,0,0,0,0,3816,526,1,39,60,0,0
4,0,249768,65756,10612,419628,0,0,0,16,765,381,0,16,80,3,0
2,0,249768,65756,10764,419672,0,0,136,104,2615,571,2,41,53,3,0
2,0,249768,65756,10764,419676,0,0,0,0,5462,603,1,51,48,0,0
0,0,249768,65756,10764,419680,0,0,0,204,4525,578,4,57,40,0,0
2,0,249768,65756,10764,419752,0,0,68,0,3799,581,5,45,51,0,0
0,0,249768,65756,10764,419752,0,0,0,0,669,357,0,7,93,0,0
1,0,249768,65756,10772,419760,0,0,0,48,4401,582,4,50,45,1,0
1,0,249768,65756,10772,419764,0,0,0,0,3843,546,2,51,47,0,0
0,0,249768,65756,10772,419768,0,0,0,192,4660,562,5,34,61,0,0
0,0,249768,65756,10772,419772,0,0,0,0,7354,695,1,60,39,0,0
2,0,249768,65756,10772,419772,0,0,0,0,5081,543,2,38,60,0,0
0,0,249768,65756,10780,419776,0,0,0,24,3946,524,1,36,62,1,0
0,0,249768,65756,10780,419780,0,0,0,0,9079,752,1,73,26,0,0
1,0,249768,65756,10780,419784,0,0,0,0,4017,505,2,42,55,0,0
0,0,249768,65756,10780,419868,0,0,80,0,773,458,4,13,75,8,0
0,0,249768,65756,10780,419868,0,0,0,0,2705,467,1,29,70,0,0
3,0,249768,65756,10788,419872,0,0,0,28,6960,759,1,74,25,0,0
0,0,249768,65756,10788,419876,0,0,0,0,5322,562,2,43,55,0,0
0,0,247976,65756,10788,419880,1988,0,1988,0,3770,930,2,46,32,20,0
0,0,247976,65756,10788,419884,0,0,0,0,1371,393,2,21,76,0,0
2,0,247976,65756,10788,419884,0,0,0,0,7723,675,0,64,36,0,0
0,0,247976,65084,10796,419888,0,0,0,16,8716,837,3,69,24,3,0
8,0,247976,65084,10796,428500,0,0,8564,0,5399,766,3,57,25,14,0
3,0,247976,63068,10796,439340,0,0,10880,104,6298,1017,3,87,5,5,0
3,0,249008,70632,9912,436296,0,856,5700,856,7177,969,1,93,6,0,0
2,0,249008,70632,9912,436296,0,0,0,0,5519,702,1,62,36,0,0
1,0,249008,70632,9920,436300,0,0,0,28,7996,863,5,82,13,0,0
2,0,249008,70632,9920,436300,0,0,0,0,6900,752,0,75,25,0,0
