r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
0,0,247456,73120,11840,415884,0,0,0,0,313,1072,19,9,72,0,"-0,19163525","-1,170773196","2,2084835297","-3,655217665","0,9404948216","6,6023185899","1,7781862319","-1,184417196"
0,0,247456,73120,11840,415884,0,0,0,0,248,782,11,3,86,0,"-1,671786729","-1,072694083","2,1766942288","-2,901355048","0,338796271","3,5577569106","0,551852427","-1,075297696"
0,1,247456,67576,11848,419604,0,0,3720,32,969,504,3,16,55,26,"-0,921954554","0,8373869409","7,8075521495","1,7690431617","0,9071367907","1,4542626157","-2,913298341","1,198237702"
5,0,250024,81372,10400,408320,0,2716,6692,2716,2119,784,6,74,17,3,"2,5882008413","6,9485932471","1,719350163","-5,113545044","1,7309706798","-0,062538207","-1,267818568","-2,647171331"
0,1,250024,69276,10540,418252,60,0,10180,0,3967,686,2,49,19,29,"1,1503481241","2,0207794889","8,0618010669","3,8793466288","1,6372983453","0,8880844326","-3,103158433","0,5817859117"
0,0,249768,69276,10552,418428,56,0,188,48,1107,580,4,22,70,4,"-1,792546994","-0,706226958","2,1340320147","-1,165309304","0,5740419353","0,6090316736","-0,217163218","-0,405198927"
0,0,249768,69276,10552,418432,16,0,16,0,4041,683,2,44,53,0,"-0,750815421","-1,106187838","0,8202399144","-1,059533378","0,3842557073","-0,118204095","-0,703149923","-0,259749028"
1,0,249768,69276,10556,418444,0,0,4,332,5983,731,3,47,50,0,"0,0195295815","-0,7905879","0,6184376266","-1,350354308","0,43820009","0,1418878136","-0,713677599","-0,43973901"
0,0,249768,69024,10556,418452,0,0,8,0,7466,741,2,57,40,1,"0,2654189651","-1,339837174","0,5196849972","-0,782811158","0,7164363699","-0,169693304","-1,023968122","-0,087625094"
1,0,249768,69024,10556,418512,0,0,56,0,5617,646,1,52,46,0,"-0,322025608","-1,127261147","0,5502603681","-0,775606957","0,2557897816","-0,526674745","-1,010509166","-0,446550981"
2,0,249768,69024,10564,418516,0,0,0,68,4192,535,1,36,44,18,"-0,747251303","-0,36993619","3,7305919808","0,7251741796","1,3378195451","-0,308433686","-1,654141548","-0,640555355"
2,0,249768,69024,10564,418520,0,0,0,0,4005,549,4,37,60,0,"-0,889773185","-0,924950248","0,9147736178","-1,197084241","-0,011017384","0,591158125","-0,462625666","-0,847228524"
0,1,249768,68268,10564,419112,0,0,592,324,8776,769,4,79,18,0,"1,886349588","-0,139381712","1,2369387748","-0,129597095","0,5114588184","1,3527092652","-1,999118763","1,9557481169"
1,1,249768,68268,10564,419336,96,0,348,0,3027,680,3,42,52,3,"-0,201859299","0,0986468032","2,8188530912","0,2561357321","0,286267377","1,1227295982","-1,272013824","1,3719164538"
3,0,249768,68268,10564,419432,0,0,64,0,5871,682,4,73,14,10,"1,1021233792","-0,814346722","1,9272768674","0,1940225448","1,1025371134","0,6223531929","-0,952728914","-0,815176301"
2,0,249768,65804,10572,419436,0,0,0,60,12020,929,0,87,13,0,"2,4703593239","-1,637384524","-0,315918101","-0,216154917","0,7738901386","-1,111765097","-1,391284985","-0,259736683"
0,0,249768,65804,10572,419440,0,0,0,0,5080,540,0,41,59,0,"-1,025018859","-1,330827437","0,8211693989","-0,945524672","0,0122416859","-1,039167345","-1,15482881","0,0115660774"
3,0,249768,65804,10572,419440,0,0,4,0,992,412,4,15,81,0,"-1,981905207","-0,758798331","1,5198214543","-1,443623815","-0,71352291","0,537420854","-0,230245322","-1,116004345"
0,0,249768,65804,10572,419448,0,0,0,0,8600,672,1,66,33,0,"0,5861953344","-1,624953335","0,2400218237","-0,726103663","0,5582923838","-0,758021022","-1,227084268","0,1902311203"
2,0,249768,65804,10572,419452,0,0,0,0,3145,487,2,30,67,0,"-1,328722354","-1,011335658","1,1284589852","-1,125565531","-0,380332121","-0,246843182","-0,678364415","-0,689582932"
2,0,249768,65804,10580,419456,0,0,0,16,4861,558,2,49,48,1,"-0,358792594","-1,125819027","0,916986957","-0,838617013","0,0099854794","-0,291099477","-0,847887483","-0,564734761"
2,0,249768,66876,10580,419456,0,0,0,0,5310,667,1,63,36,0,"0,2149463999","-1,170368904","0,4963634094","-0,6514041","0,10768004","-0,605222588","-0,942925834","-0,576436756"
0,0,249768,66876,10580,419460,0,0,0,0,2985,486,3,39,58,0,"-1,322898893","-1,16442171","1,0247556417","-1,316203615","0,0205047767","0,1094513787","-0,646886866","-0,117852181"
1,0,249768,66876,10580,419464,0,0,0,0,1078,424,8,22,70,0,"-1,720878","-0,949626361","1,4611632932","-1,94968272","-0,158360068","1,981830181","0,2119074501","-0,562828127"
1,0,249768,66876,10580,419468,0,0,0,0,6144,725,5,63,32,0,"0,6581711796","-1,352146368","0,4946994331","-1,124850735","0,5093492198","0,8384299766","-0,452727479","-0,291032568"
1,0,249768,66876,10588,419472,0,0,0,28,1923,521,3,40,55,1,"-1,1983692","-0,955540019","1,2464907799","-1,180426598","-0,048905322","0,1710331878","-0,578072122","-0,44275707"
1,0,249768,66876,10588,419476,0,0,0,0,9851,843,4,71,25,0,"1,6205936834","-1,599434838","0,0965011735","-0,845034314","0,7933284717","0,4227263016","-0,741789803","-0,157128824"
1,0,249768,66876,10588,419476,0,0,0,0,6990,687,2,65,33,0,"0,5164937794","-1,384656739","0,3638832491","-0,779259228","0,4050033608","-0,296256658","-0,933948472","-0,223461698"
0,0,249768,66876,10588,419480,28,0,28,0,3971,523,1,38,58,2,"-1,217653227","-1,157543383","1,3272849223","-0,869126554","0,2841244359","-0,660053269","-0,884199393","-0,063437207"
3,0,249768,66876,10588,419484,0,0,0,0,1860,489,2,31,67,0,"-1,416467547","-0,786082029","1,1923380918","-1,054423077","-0,558589178","-0,167809785","-0,551381301","-1,075576147"
