r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1,0,250176,69136,16264,446856,93,862,5629,1773,455,1099,26,16,17,41,0
0,0,250176,69136,16264,446860,0,0,0,0,108,267,1,0,99,0,0
0,0,250176,69136,16264,446860,0,0,0,0,96,208,1,0,99,0,0
1,2,250176,69136,16264,447040,0,0,180,0,86,161,0,0,92,8,0
4,0,250176,62392,16280,450856,300,0,4136,320,1936,1594,3,23,2,71,0
5,0,250176,72004,16276,442820,0,0,9360,0,10077,1236,2,94,3,0,0
4,0,250176,74104,16276,439276,0,0,4720,0,10851,1197,3,91,4,1,0
7,0,250176,73432,16276,439280,0,0,0,0,10226,985,4,82,14,0,0
2,0,250176,73180,16276,439420,0,0,144,0,10231,1228,10,85,5,0,0
12,0,250176,68700,16284,439416,0,0,0,56,10749,1099,4,85,11,0,0
1,0,250176,63524,16300,439732,12,0,320,48,8011,977,5,87,8,0,0
1,0,250176,63524,16300,439728,0,0,0,0,7016,793,7,79,14,0,0
2,0,250176,63524,16300,439732,0,0,0,0,7093,829,4,82,14,0,0
3,0,250176,63524,16300,439732,0,0,0,0,7506,790,3,83,14,0,0
12,2,250176,63524,16308,441324,60,0,1652,56,6789,928,4,82,10,4,0
5,1,249920,63524,16320,443148,484,0,2168,0,6670,1276,8,90,0,2,0
4,0,249920,63272,16328,443696,16,0,564,0,7239,979,6,88,6,0,0
9,0,249920,63272,16328,443696,0,0,0,0,7469,762,1,88,11,0,0
2,0,249920,63272,16328,443700,0,0,0,0,7469,784,5,80,15,0,0
5,0,249920,63272,16336,443692,0,0,0,60,7833,884,13,82,6,0,0
2,0,249920,63272,16336,443704,0,0,0,0,7467,860,10,83,7,0,0
5,0,249920,63272,16336,443708,0,0,0,0,7712,785,4,84,12,0,0
2,0,249920,63272,16336,443708,0,0,0,0,7898,833,5,81,14,0,0
8,0,249920,63272,16336,444468,0,0,642,0,6782,880,3,90,8,0,0
1,0,250176,67868,16344,442428,0,388,168,404,7900,2173,8,88,4,0,0
4,0,250176,62468,16348,443192,136,68,2672,68,5823,1154,2,95,1,2,0
13,0,250176,61460,16504,443392,32,0,340,0,6907,1029,15,82,0,3,0
11,0,250176,61460,16504,443388,0,0,0,0,7672,853,15,85,0,0,0
10,0,250176,61208,16504,443392,88,0,88,0,6890,891,20,80,0,0,0
4,1,250176,72516,16512,445628,0,0,2360,100,6802,819,16,80,0,3,0
8,0,250432,74672,16512,439856,16,240,1489,240,6075,1358,3,97,0,0,0
1,0,250432,61664,16512,437020,0,36,0,36,7347,711,1,89,9,0,0
0,0,250432,61664,16512,437020,0,0,0,0,7445,650,1,84,15,0,0
1,0,250432,61664,16512,437020,0,0,0,0,7152,701,1,85,13,0,0
1,0,250432,61664,16520,437024,0,0,0,28,7044,694,1,87,12,0,0
1,0,250432,61664,16524,437032,0,0,4,212,6961,682,0,84,14,1,0
16,0,250432,61664,16524,437032,0,0,0,0,6990,791,17,78,5,0,0
1,0,250432,61664,16524,437036,0,0,0,0,7214,748,6,83,10,0,0
2,0,250432,61160,16808,437220,0,0,371,112,6890,841,3,88,9,0,0
2,0,250432,60264,16808,437220,0,0,0,0,7142,678,3,84,14,0,0
1,0,250432,60264,16808,437220,0,0,0,216,6755,650,0,85,15,0,0
0,0,250432,60264,16808,437224,0,0,0,0,6817,590,3,77,20,0,0
3,0,250432,60264,16808,437224,0,0,0,0,6646,664,1,78,20,0,0
8,0,250432,60264,16816,437224,0,0,0,76,6907,646,3,84,13,0,0
9,0,250432,60264,16816,437224,0,0,0,0,6750,610,2,81,17,0,0
1,0,250432,60264,16816,437228,0,0,0,704,6258,671,1,83,16,0,0
2,0,250432,60264,16816,437228,0,0,0,0,7347,731,1,87,12,0,0
4,0,250432,60264,16816,437232,0,0,0,0,7282,731,1,87,12,0,0
1,0,250432,60264,16824,437232,0,0,0,24,7912,782,3,83,13,1,0
1,0,250432,60264,16824,437240,0,0,0,0,7283,728,3,86,11,0,0
2,0,250432,67384,16824,432804,0,0,0,0,7488,700,3,88,9,0,0
2,0,250432,65592,16824,432804,0,0,0,0,7240,617,3,77,20,0,0
3,0,250432,65592,16824,432808,0,0,0,0,7433,713,1,84,14,0,0
0,0,250432,65592,16832,432808,0,0,0,16,7639,797,4,86,9,1,0
1,0,250432,65592,16832,432812,0,0,0,0,7828,743,3,84,13,0,0
1,0,250432,65592,16832,432812,0,0,0,0,7156,631,1,79,19,0,0
2,0,250432,65592,16832,432812,0,0,0,0,7800,772,4,83,13,0,0
3,0,250432,65592,16832,432816,0,0,0,0,7182,683,3,82,15,0,0
1,0,250432,65592,16840,432808,8,0,8,16,7418,728,3,86,11,0,0
2,0,250432,65592,16840,432820,0,0,0,0,7390,705,4,81,15,0,0
1,0,250432,65592,16840,432928,0,0,112,0,7650,947,4,89,7,0,0
1,0,250432,65592,16840,433168,8,0,244,0,7704,739,0,86,13,1,0
1,0,250432,65592,16840,433168,0,0,0,0,7797,729,1,84,14,0,0
1,0,250432,65592,16852,433168,0,0,0,88,7342,740,4,80,14,1,0
1,0,250432,65592,16852,433172,0,0,0,0,7786,656,3,80,17,0,0
6,0,250432,79536,16984,442884,16,0,9952,56,4433,869,2,74,2,21,0
1,0,250432,63720,16984,449880,0,0,6976,0,7175,943,5,89,5,1,0
3,0,250432,62460,16984,451132,0,0,1248,0,6956,843,1,88,11,0,0
3,0,250432,62208,16992,451132,0,0,0,36,7226,899,1,88,11,0,0
2,0,250432,61760,16992,451132,0,0,0,0,7132,885,4,86,11,0,0
1,0,250432,61760,16992,451132,0,0,0,0,7122,896,1,88,11,0,0
1,0,250432,61760,16992,451136,0,0,0,160,7031,891,0,90,10,0,0
2,0,250432,61760,16992,451136,0,0,0,0,6658,845,4,86,11,0,0
4,1,250432,61760,17000,451140,0,0,0,20,7157,901,1,88,9,1,0
1,0,250432,61760,17000,451140,0,0,0,0,6651,868,5,85,10,0,0
1,0,250432,61760,17000,451140,0,0,0,0,7259,899,3,82,15,0,0
0,0,250432,61760,17000,451144,0,0,0,0,6952,865,3,82,15,0,0
3,0,250432,61760,17000,451144,0,0,0,0,7157,924,1,90,9,0,0
2,0,250432,61760,17008,451148,0,0,0,16,7343,870,4,88,9,0,0
2,0,250432,61760,17008,451148,0,0,0,0,7396,830,4,85,11,0,0
3,0,250432,61536,17008,451152,0,0,0,0,6980,769,3,85,13,0,0
4,0,250432,61536,17008,451152,0,0,0,0,7751,875,4,85,11,0,0
4,0,250432,81940,16984,427216,0,0,0,0,6873,814,4,89,8,0,0
1,0,250432,77436,16992,427208,0,0,0,16,6776,716,1,84,14,0,0
1,0,250432,77436,16992,427220,0,0,0,0,7290,819,3,86,11,0,0
1,0,250432,77436,16992,427220,0,0,0,0,7432,818,5,83,13,0,0
0,0,250432,77436,16992,427224,0,0,0,0,7591,917,4,84,12,0,0
1,0,250432,77436,16992,427228,0,0,0,0,8042,764,3,89,9,0,0
3,0,250432,74524,16992,427228,0,0,0,0,7825,778,4,86,11,0,0
1,0,250432,71612,17000,427228,0,0,0,16,7351,720,1,86,13,0,0
1,0,250432,71612,17000,427232,0,0,0,0,7120,707,0,84,16,0,0
2,0,250432,71612,17000,427232,0,0,0,144,7524,718,3,83,14,0,0
1,0,250432,71612,17000,427236,0,0,0,0,6950,748,1,83,16,0,0
1,0,250432,71612,17000,427236,0,0,0,0,7474,717,1,86,12,0,0
3,0,250432,71612,17008,427240,12,0,12,16,7170,818,1,88,9,3,0
