r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
4,0,250176,62392,16280,450856,300,0,4136,320,1936,1594,3,23,2,71,"4,469659974","11,966721646","-0,829539331","4,2857048495","-5,078189988","3,6976172443","-3,519713751","4,2227076359"
5,0,250176,72004,16276,442820,0,0,9360,0,10077,1236,2,94,3,0,"5,354899128","1,0287096311","1,2066299033","2,7316666405","-0,331633892","-1,00424523","-2,057449006","-4,599127476"
4,0,250176,74104,16276,439276,0,0,4720,0,10851,1197,3,91,4,1,"4,7166624511","-0,00798751","0,9322213904","1,3851963093","-0,295842139","0,1351330959","-1,063968147","-2,580363723"
7,0,250176,73432,16276,439280,0,0,0,0,10226,985,4,82,14,0,"3,7019557388","-0,653021491","-0,003455163","-0,143732851","0,8401894695","0,7173724514","-0,229105064","-0,53058653"
2,0,250176,73180,16276,439420,0,0,144,0,10231,1228,10,85,5,0,"4,2481301232","-0,540508183","-0,243290867","-0,25764656","0,8462532766","0,7444258563","-0,4519013","-0,000843362"
12,0,250176,68700,16284,439416,0,0,0,56,10749,1099,4,85,11,0,"4,7520565214","-0,115079486","-0,380468333","-0,735789219","1,513464421","0,327885305","-0,316173672","-0,360111527"
1,0,250176,63524,16300,439732,12,0,320,48,8011,977,5,87,8,0,"3,0496434169","0,174267996","-0,823655265","-1,008228145","-0,834952646","-0,640813612","-0,134214301","0,2255554503"
1,0,250176,63524,16300,439728,0,0,0,0,7016,793,7,79,14,0,"2,2671001344","-0,074396591","-1,371915057","-1,030377211","-0,144360429","-0,535703359","-0,32983622","0,3004272144"
2,0,250176,63524,16300,439732,0,0,0,0,7093,829,4,82,14,0,"2,3247405479","-0,146177405","-1,119319759","-0,936887973","-0,582275732","-0,675269077","-0,162248976","0,0739516074"
3,0,250176,63524,16300,439732,0,0,0,0,7506,790,3,83,14,0,"2,3825912077","-0,226410435","-1,05105763","-0,905828141","-0,586168286","-0,695539657","-0,106120934","-0,011328801"
12,2,250176,63524,16308,441324,60,0,1652,56,6789,928,4,82,10,4,"4,3291151657","3,3045678923","-2,829428233","1,6856407587","1,8021741872","0,8289780398","5,5684971844","-1,539317314"
5,1,249920,63524,16320,443148,484,0,2168,0,6670,1276,8,90,0,2,"6,4599220204","6,5387228714","-4,508178528","3,8500749261","-1,603664825","3,8099610843","2,4687595834","3,9159245895"
4,0,249920,63272,16328,443696,16,0,564,0,7239,979,6,88,6,0,"3,4463017607","0,412991148","-1,521792925","-0,619674321","0,031724983","-0,828465692","-0,488314712","-0,018932095"
9,0,249920,63272,16328,443696,0,0,0,0,7469,762,1,88,11,0,"3,0729620744","0,0352036675","-1,309441439","-0,751342803","0,2507809854","-0,963850256","-0,213907967","-0,425002266"
2,0,249920,63272,16328,443700,0,0,0,0,7469,784,5,80,15,0,"2,3713519249","0,0997402221","-1,451592147","-0,942043639","-0,355770651","-1,018494905","-0,2654585","-0,019637324"
5,0,249920,63272,16336,443692,0,0,0,60,7833,884,13,82,6,0,"3,7236963451","0,6164669712","-1,874517363","-1,382123812","1,7911599971","-0,466761385","-0,776506581","0,5430921644"
2,0,249920,63272,16336,443704,0,0,0,0,7467,860,10,83,7,0,"3,0332812707","0,1747755347","-1,814522199","-1,024170116","0,5885646592","-0,757685273","-0,554985166","0,3723797106"
5,0,249920,63272,16336,443708,0,0,0,0,7712,785,4,84,12,0,"2,8028452553","0,050948267","-1,424679316","-0,867179598","0,0290733809","-0,963475117","-0,271178219","-0,133943101"
2,0,249920,63272,16336,443708,0,0,0,0,7898,833,5,81,14,0,"2,567021256","0,0589931017","-1,405550401","-0,929530904","-0,400619125","-1,03322369","-0,243301986","-0,010467402"
8,0,249920,63272,16336,444468,0,0,642,0,6782,880,3,90,8,0,"3,3675495484","0,3031203854","-1,359936143","-0,55666625","0,4269895444","-1,04647635","-0,474282567","-0,524658125"
1,0,250176,67868,16344,442428,0,388,168,404,7900,2173,8,88,4,0,"6,1831618421","5,2547481953","4,9850552576","-5,535231057","0,6884055547","-0,416159702","0,7927630109","-0,042154482"
4,0,250176,62468,16348,443192,136,68,2672,68,5823,1154,2,95,1,2,"4,2492366697","2,8991769045","-0,399861405","0,2166299448","-1,395157656","-0,225501085","-0,443464585","0,4469029053"
13,0,250176,61460,16504,443392,32,0,340,0,6907,1029,15,82,0,3,"4,8270823537","1,1489751782","-2,628062082","-0,455688035","3,6241166049","0,1588200518","-1,38100083","1,1311899932"
11,0,250176,61460,16504,443388,0,0,0,0,7672,853,15,85,0,0,"4,2620946495","0,3157028361","-2,416072131","-0,927561996","3,5221827412","-0,330329875","-1,079689023","0,8927829884"
10,0,250176,61208,16504,443392,88,0,88,0,6890,891,20,80,0,0,"4,6851448319","1,4844592998","-3,324643747","-0,480910623","3,9199913916","0,674248103","-1,384243505","2,2022936259"
4,1,250176,72516,16512,445628,0,0,2360,100,6802,819,16,80,0,3,"3,6268780354","1,9852751668","-1,039098137","1,1279195409","3,1943375002","0,7571310922","1,7941518008","-1,05834652"
8,0,250432,74672,16512,439856,16,240,1489,240,6075,1358,3,97,0,0,"4,5522972705","2,919758572","4,0166886631","-2,13312194","1,4714889735","0,692883532","0,236004719","-0,981014718"
1,0,250432,61664,16512,437020,0,36,0,36,7347,711,1,89,9,0,"1,7363039043","-0,219498525","-0,11017925","-1,28059058","-1,381573743","-0,909136051","0,3528463069","0,2081753028"
0,0,250432,61664,16512,437020,0,0,0,0,7445,650,1,84,15,0,"1,2608431037","-0,631557443","-0,639142043","-0,853323029","-1,600503538","-0,927753455","0,2429535392","0,2121097026"
1,0,250432,61664,16512,437020,0,0,0,0,7152,701,1,85,13,0,"1,4802346204","-0,571482356","-0,667625767","-0,829864192","-1,408977036","-0,885551522","0,1956945179","0,1959539105"
1,0,250432,61664,16520,437024,0,0,0,28,7044,694,1,87,12,0,"1,513952413","-0,444165995","-0,51314715","-0,959130946","-1,429799853","-0,897550492","0,2381190374","0,2180913556"
1,0,250432,61664,16524,437032,0,0,4,212,6961,682,0,84,14,1,"1,4707915936","0,6376288128","0,4618357587","-1,83440444","-1,737961384","-0,923030069","0,450905362","0,253711461"
